reviewerName,expertiseAreas
Li Shen,"betaine, mutual authentication, otway–rees protocol, replay attack, reflection attack, session key, genomic, industrial internet, login, structural variation, population genomics, security analysis"
Peter Yong,"deamidation, aspartic acid, panning (audio)"
L. Wolfe,"deamidation, aspartic acid"
M. Bläuer,"deamidation, chromatography detector, deoxycholic acid, aspartic acid, ursodeoxycholic acid"
T. Hasan,"acorn, predicate (mathematical logic), big data"
T. Rabl,"acorn, state of charge, predicate (mathematical logic), robustness, neuromorphic engineering"
Quoc-Cuong To,"acorn, predicate (mathematical logic)"
Célia de Sousa-d'Auria,"lactobacillus reuteri, steviol, rebaudioside a"
Li Chen,"lactobacillus reuteri, steviol, rebaudioside a"
A. Hamprecht,"lactobacillus reuteri, steviol, rebaudioside a"
W. T. Li,"uncorrelated, homo/lumo, chemical space"
E. Savariar,"uncorrelated, homo/lumo, chemical space"
J. Calais,"sorbitan, phase inversion, genomic medicine, aqueous two-phase system, personalized medicine, human disease, mainstream, blood smear, diagnosis of malaria, dispersity"
J. Madrigal-Matute,"sorbitan, phase inversion, plecoglossus altivelis, aqueous two-phase system, cpg site, genome, dispersity, synteny"
R. Jerala,"sorbitan, phase inversion, aqueous two-phase system, dispersity"
G. Dubois,"language change, health"
M. Uttinger,"language change, gus reporter system, health"
Ari M Melnick,"oryza rufipogon, oryza, subfamily, common wheat"
D. Bhattacharya,"oryza rufipogon, oryza, molecular imprinting, pandemic, 2019-20 coronavirus outbreak, biomolecule, subfamily, common wheat"
G. Dolman,"oryza rufipogon, oryza, subfamily, common wheat"
Choiru Za’in,"threshold model, threshold limit value, detection threshold, value (mathematics)"
Giorgio Vinciguerra,"threshold model, threshold limit value, detection threshold, value (mathematics)"
Yaokun Wu,"threshold model, threshold limit value, detection threshold, crop coefficient, value (mathematics)"
Shuang Liu,"benzoin, electrochromatography, monolith, monolithic hplc column"
A. Joshi,"benzoin, nudge theory, health administration, genomic, electrochromatography, health, health services research, monolith, monolithic hplc column"
A. Spivak,"decodes, disease, health, rna-seq"
R. Priori,"decodes, disease, health, rna-seq"
A. J. De Lucca,"decodes, disease, health, nomogram, rna-seq"
Yuan-Shun Dai,"implicit knowledge, rule of inference, mobile edge computing, computation offloading"
Z. Qian,"implicit knowledge, rule of inference, animal model, genomic, pandemic, personalized medicine, coronavirus, genomic information, genomic sequencing"
Jangwoo Kim,"legacy system, connotation, big data, relevance, multitude, business analytics, edge device, indexing, business intelligence, globe"
Yongcong Luo,"legacy system, edge device"
D. Clercq,"legacy system, model lipid bilayer, edge device, cell envelope"
T. H. T. Wong,"tumour tissue, tumour heterogeneity, liquid biopsy, tumor heterogeneity"
Xiao-long Zhang,"mesogen, epigenomics, bisulfite, cpg site, methylated dna immunoprecipitation, bisulfite sequencing"
Yuyan Wang,mesogen
Qingxi Chen,"caga, chronic gastritis, genomic, pcsk9, pathogenesis, etiology"
D. Mbanya,"caga, chronic gastritis, pathogenesis, etiology"
K. Elango,"caga, chronic gastritis, pathogenesis, etiology"
Huaimin Guan,"xanthone, efflux, association (psychology), docking (animal), phenome"
G. Palomaki,"xanthone, efflux, pandemic, docking (animal)"
Rajesh Kumar Dhanaraj,"cross disciplinary, value (mathematics), mhealth, big data, discipline, technology acceptance model"
M. Panahiazar,"cross disciplinary, big data, discipline"
F. S. Irwansyah,"subtitle, association (psychology)"
B. Far,"subtitle, association (psychology)"
Seifedine Kadry,"subgame perfect equilibrium, geometric data analysis, subgame, information sensitivity, normalization, resource management, stackelberg competition, mobile edge computing"
Yansheng Li,"subgame perfect equilibrium, subgame, resource management, stackelberg competition, mobile edge computing"
Lucy Lalthafamkimi,"molar concentration, molar mass distribution, molar mass, matrix (chemical analysis), identification, molecular mass"
V. Gaspar,"molar concentration, molar mass distribution, molar mass, epidermis (zoology), matrix (chemical analysis), molecular mass"
James S. Peerless,"molar concentration, molar mass distribution, molar mass, matrix (chemical analysis), molecular mass, cross-sectional study"
M. Harden,"stochastic game, gratification, delay discounting, delay of gratification, temporal discounting, intertemporal choice"
Hong Liu,"stochastic game, tlr3, gratification, organoid, delay discounting, delay of gratification, temporal discounting, intertemporal choice"
J. R. Almeida,"medical ultrasound, scratch, big data, modalities, granularity"
A. Azzini,"medical ultrasound, backhaul (telecommunications), big data, modalities, mobile edge computing"
Feifei Li,"medical ultrasound, modalities"
A. Delgado-Vega,"icelandic, genetic epidemiology, stroke, genetic association"
D. Duda,"icelandic, wearable technology, phylogenetics, anopheles gambiae, genetic epidemiology, stroke, genetic association, genome"
Louise Barys,"icelandic, genetic epidemiology, stroke, genetic association"
Chao Shen,"patient discharge, hospital discharge"
Ran Wei,"patient discharge, hospital discharge"
Jin Wang,"patient discharge, hospital discharge"
Mohd. Kamran Khan,"treatment modality, frontier, gut microbiome, narrative review"
B. Regnault,"treatment modality, frontier, gut microbiome, narrative review"
John Penn,"treatment modality, identification, frontier, gut microbiome, genome, narrative review, abnormality, prioritization"
Philip Slavin,"myoviridae, phage therapy, lytic cycle"
V. Lemaire,"myoviridae, phage therapy, lytic cycle"
Marissa A Andrew,"myoviridae, phage therapy, lytic cycle"
R. Dolan-Sewell,"broca's area, frontal cortex, affect, human brain, viral pathogenesis, coronavirus, proteome, rna virus"
Kang-rui Hu,"broca's area, frontal cortex, affect, human brain"
O. Ceyhan-Birsoy,"broca's area, frontal cortex, affect, human brain"
David Martens,"gramian matrix, data processing, data set, completeness (order theory), transfer of learning, python, real-time data, concept drift"
C. Allaire,"gramian matrix, glutamate carboxypeptidase ii, python, health"
Noam Lifshitz,"gramian matrix, python"
J. Grundy,"economic forecasting, economic indicator"
Yongfa Li,"economic forecasting, economic indicator, popularity, code (set theory)"
Xuelong Li,"economic forecasting, persona, economic indicator, encryption"
E. Leguern,"knoevenagel condensation, pyran"
L. Michalczuk,"knoevenagel condensation, pyran"
Yafei Luan,"interleukin-6 receptor, interleukin-4 receptor, interleukin-1 receptor, disease, blocking (statistics)"
L. Carey,"interleukin-6 receptor, perilymph, interleukin-4 receptor, interleukin-1 receptor, disease, blocking (statistics)"
S. Keim,"interleukin-6 receptor, interleukin-4 receptor, interleukin-1 receptor, disease, blocking (statistics)"
M. Nelen,"terminal nerve, polypyrrole, differential pulse voltammetry, molecularly imprinted polymer, molecular imprinting, molecular"
Shijia Wu,terminal nerve
T. Płatek,"epilepsy syndromes, exome, guideline"
H. Wit,"epilepsy syndromes, exome, concordance, nomogram, guideline"
N. Desideri,"epilepsy syndromes, exome, guideline"
Jun He,"helianthus annuus, subfamily"
Yuki Hirakawa,"helianthus annuus, insectivore, betacoronavirus, coronavirus, subfamily"
Inna Ricardo-Lax,"chemical species, characterization"
T. Hubbard,"chemical species, genomic, personalized medicine, characterization"
Christina Y Cantave,"chemical species, marie curie, web site, disease, elastic net regularization, pandemic, characterization"
J. Postlethwait,"macromolecular substances, molecular, presentation (obstetrics), biodistribution"
Keith Siklenka,"macromolecular substances, genomic, molecular, synteny, biodistribution"
B. Becerril,"macromolecular substances, molecular, biodistribution"
S. Sahran,"scarabaeoidea, chemical ecology, nucleotide salvage, translation lookaside buffer, tree (set theory), uridine diphosphate, synthesis"
F. Evesson,"scarabaeoidea, chemical ecology"
Habiba Abdelhalim,"central moment, square root, square (algebra), first-hitting-time model"
Zhaodong Hao,"central moment, square root, square (algebra), first-hitting-time model"
Lu Luo,"central moment, square root, square (algebra), first-hitting-time model, cross-sectional study"
C. Antalis,"dichloromethane, chiral derivatizing agent, absolute configuration, chiral stationary phase"
H. Han,"dichloromethane, chiral derivatizing agent, absolute configuration, chiral stationary phase"
R. Ertan,"hereditary cancer, chatbot, triage"
S. Nuismer,"hereditary cancer, chatbot, triage"
J. Whitham,"shotgun, genomic, resistome"
N. Lan,"shotgun, genomic, resistome"
M. Rosenblatt,"shotgun, nanogenerator, wearable technology, genomic, resistome"
Bingqing Chen,"fragment crystallizable region, isopycnic, surface immunoglobulin, immunoglobulin fc fragments, differential centrifugation, cell membrane, mode of action"
P. Cacabelos,"fragment crystallizable region, isopycnic, surface immunoglobulin, immunoglobulin fc fragments, differential centrifugation, disease, diagnosis, medical genetics, exome, liver disease, etiology, cell membrane"
E. Genden,"coordination polymer, prussian blue, verrucomicrobia, nanocages, health surveillance, health, global health, coordination complex, dysbiosis, kegg"
Liz Rolf,"coordination polymer, prussian blue, nanocages, coordination complex"
O. Kounchev,"coordination polymer, prussian blue, nanocages, coordination complex"
Tunc Morova,"spiroplasma, feature (linguistics), benchmark (surveying), bartonella, pathosystem, overfitting, minion, pyramid (geometry)"
M. Hiltunen,"spiroplasma, cofilin, clinical study design, genomic, disease, bartonella, pharmacogenomics, pathosystem, pooling, minion, atherosclerotic cardiovascular disease"
Sang-Soo Lee,"spiroplasma, bartonella, pathosystem, minion"
R. Ounit,"immunological memory, hepatitis b vaccine, hepatitis b, pharmacogenomics, persistence (discontinuity)"
R. Islamaj,"immunological memory, hepatitis b vaccine, baseline (sea), hepatitis b, persistence (discontinuity), position (finance)"
R. Gifford,"darunavir, nitazoxanide, disease, binding affinities, favipiravir, pandemic, coronavirus, hydroxychloroquine, docking (animal), carbon fibers, ritonavir, lopinavir"
G. C. Lo,"darunavir, nitazoxanide, disease, favipiravir, pandemic, coronavirus, hydroxychloroquine, ritonavir, lopinavir"
H. Alvarez,"darunavir, nitazoxanide, genomic, disease, favipiravir, pandemic, personalized medicine, coronavirus, hydroxychloroquine, psycinfo, ritonavir, lopinavir"
Jie Sun,"prostatic diseases, molecular pathology, personalized medicine, molecular, molecular diagnostics, serum albumin"
K. Tanno,"prostatic diseases, molecular pathology, personalized medicine, molecular diagnostics"
M. Malińska,"prostatic diseases, tertiary amine, molecular pathology, personalized medicine, molecular diagnostics, fragmentation, structural isomer, side chain, phenethylamines, polyatomic ion"
S. Tsang,"carbon ion radiotherapy, radiation oncology, biocide, anti-infective agents, web of science"
J. Hoffman,"carbon ion radiotherapy, radiation oncology, web of science"
J. E. Schjenken,"carbon ion radiotherapy, radiation oncology, web of science"
J. Su,"crystal habit, anhydrous, calcipotriol, conformational isomerism, synthesis"
P. Lesho,"crystal habit, anhydrous, system integration, public health informatics, calcipotriol, data sharing, genomic, conformational isomerism, health, synthesis"
H. Milo Rasouly,"crystal habit, anhydrous, synthetic cannabinoids, calcipotriol, conformational isomerism, synthesis, fragmentation, structural isomer"
J. A. Santos-Marcos,"noncoding dna, molecularly imprinted polymer"
F. Turatto,noncoding dna
Yuanyuan Yu,noncoding dna
Jun Gao,"neurite, dorsal root ganglion, exosome"
Sharon Leitch,"neurite, dorsal root ganglion, epigenome, reprogramming, exosome"
M. Sanna,"neurite, dorsal root ganglion, exosome"
L. Cantley,"gravimetric analysis, fourier transform spectroscopy"
G. Robert,"gravimetric analysis, fourier transform spectroscopy"
Shrivardhan Dheeman,"gravimetric analysis, fourier transform spectroscopy"
Xinyu Wang,"variance reduction, control variates, feature (linguistics)"
Dr.Chinnaiyan R,"variance reduction, control variates, feature (linguistics), identification, mining, component (thermodynamics), granularity, application layer, relationship extraction"
